 	Appendicularia	Bubble	Chaetognatha	CladoceraPenilia	Copepoda	Decapoda	Doliolida	Egg	Fiber	Gelatinous	Multiple	Nonbio	Pteropoda	Total	Recall	1-Precision
Appendicularia	0.000000	0.000000	0.000000	0.000000	2.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.000000	5.000000	0.000000	1.000000
Bubble	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	2.000000	1.000000	1.000000	0.000000	0.000000	0.000000	5.000000	0.000000	1.000000
Chaetognatha	1.000000	0.000000	0.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.000000	5.000000	0.000000	1.000000
CladoceraPenilia	0.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	0.000000	5.000000	0.000000	1.000000
Copepoda	2.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.000000	5.000000	0.000000	1.000000
Decapoda	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	2.000000	5.000000	0.000000	1.000000
Doliolida	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	3.000000	0.000000	5.000000	0.000000	1.000000
Egg	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.000000	0.000000	0.000000	0.000000	5.000000	0.000000	1.000000
Fiber	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.000000	1.000000	5.000000	0.000000	1.000000
Gelatinous	0.000000	0.000000	0.000000	4.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	5.000000	0.000000	1.000000
Multiple	0.000000	0.000000	0.000000	2.000000	0.000000	1.000000	0.000000	0.000000	0.000000	2.000000	0.000000	0.000000	0.000000	5.000000	0.000000	1.000000
Nonbio	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.000000	0.000000	2.000000	0.000000	0.000000	0.000000	0.000000	5.000000	0.000000	1.000000
Pteropoda	1.000000	0.000000	1.000000	0.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	5.000000	0.000000	1.000000
Total	6.000000	2.000000	3.000000	8.000000	5.000000	5.000000	3.000000	3.000000	3.000000	8.000000	3.000000	9.000000	7.000000	65.000000	0.000000	1.000000
