 	Appendicularia	Bubble	Chaetognatha	CladoceraPenilia	Copepoda	Decapoda	Doliolida	Egg	Fiber	Gelatinous	Multiple	Nonbio	Pteropoda	Total	Recall	1-Precision
Appendicularia	1486.000000	0.000000	297.000000	7.000000	41.000000	76.000000	0.000000	0.000000	302.000000	1.000000	208.000000	304.000000	3.000000	2725.000000	0.545321	0.597726
Bubble	3.000000	659.000000	0.000000	0.000000	15.000000	4.000000	0.000000	1.000000	8.000000	0.000000	9.000000	26.000000	0.000000	725.000000	0.908966	0.019345
Chaetognatha	382.000000	0.000000	1125.000000	0.000000	0.000000	10.000000	0.000000	0.000000	179.000000	0.000000	33.000000	15.000000	1.000000	1745.000000	0.644699	0.393531
CladoceraPenilia	6.000000	0.000000	0.000000	1962.000000	373.000000	43.000000	23.000000	0.000000	0.000000	138.000000	73.000000	2005.000000	2.000000	4625.000000	0.424216	0.540945
Copepoda	63.000000	0.000000	7.000000	414.000000	4432.000000	235.000000	0.000000	1.000000	11.000000	13.000000	238.000000	1909.000000	47.000000	7370.000000	0.601357	0.414376
Decapoda	333.000000	0.000000	36.000000	114.000000	317.000000	715.000000	0.000000	2.000000	97.000000	28.000000	186.000000	923.000000	34.000000	2785.000000	0.256732	0.615385
Doliolida	0.000000	0.000000	0.000000	90.000000	12.000000	0.000000	552.000000	0.000000	0.000000	340.000000	13.000000	418.000000	0.000000	1425.000000	0.387368	0.440162
Egg	1.000000	5.000000	0.000000	13.000000	0.000000	2.000000	4.000000	1401.000000	0.000000	31.000000	3.000000	260.000000	0.000000	1720.000000	0.814535	0.138906
Fiber	503.000000	3.000000	233.000000	5.000000	17.000000	52.000000	0.000000	2.000000	426.000000	4.000000	98.000000	177.000000	0.000000	1520.000000	0.280263	0.675799
Gelatinous	7.000000	0.000000	0.000000	172.000000	110.000000	13.000000	204.000000	40.000000	0.000000	1354.000000	64.000000	1046.000000	0.000000	3010.000000	0.449834	0.526076
Multiple	386.000000	0.000000	44.000000	191.000000	416.000000	168.000000	26.000000	11.000000	126.000000	173.000000	421.000000	1199.000000	14.000000	3175.000000	0.132598	0.783992
Nonbio	415.000000	5.000000	67.000000	1290.000000	1628.000000	407.000000	177.000000	169.000000	149.000000	755.000000	587.000000	9658.000000	83.000000	15390.000000	0.627550	0.472442
Pteropoda	109.000000	0.000000	46.000000	16.000000	207.000000	134.000000	0.000000	0.000000	16.000000	20.000000	16.000000	367.000000	154.000000	1085.000000	0.141935	0.544379
Total	3694.000000	672.000000	1855.000000	4274.000000	7568.000000	1859.000000	986.000000	1627.000000	1314.000000	2857.000000	1949.000000	18307.000000	338.000000	47300.000000	0.478106	0.474082
